Question_ID,Feedback Question 1,Type,Option 1,Option 2,Option 3,Option 4
152,Did your child learn any new shapes or figures while performing the activity? ,Radio Button,Yes,No,None
154,Did your child react to the different textures of the sponge and the paint on their hands?,Radio Button,Yes,No,Sometimes
205,On which line your child movements were the best?,Radio Button,Straight line,Curve line,Zig zag line,All of the above
292,What did your child enjoy the most about using an old toothbrush and paint?,Checkbox,Dipping and sprinkling paint,Creating designs,Getting messy
293,What did your child enjoy the most while playing with the dough?,Checkbox,Rolling the dough,Shaping the dough,Making a mess
185,How did the child feel after taking out the toys out successfully?,Radio Button,Happy and proud,Not happy,Neutral
161,Do you feel that this activity contributed to family bonding?,Radio Button,Yes,No,Can't Say
135,Did they seem engaged and interested in the process?,Radio Button,Yes,No,Most of the times,Sometimes
28,Did child come up with any ideas or did they ask you?,Radio Button,own ideas,asked for help,Mix of both
52,Did child experiment with different colours?,Radio Button,Yes,No,Sometimes
33,Did child do this activity with ease?,Radio Button,Yes,No,Can't Say
300,What part of this activity did child enjoy the most?,Radio Button,Making straw rectangle,choosing the coloured fish,Making soapy solution,Watching fish float
284,What did child enjoy more?,Radio Button,Collecting leaves and flowers,Pasting leaves and flowers on tape,None
195,How many animals did child make?,Radio Button,1 to 2,3 to 5,more than 5,more than 10
258,Was child focused and patient throughout the activity?,Radio Button,Yes,No,None
199,How many shapes could child make with the sticks?,Radio Button,1 to 2,3 to 5,more than 5
209,Was child able to balance the sticks on a fork?,Radio Button,Yes,No,None
27,Did child colour the rainbow well? ,Radio Button,Yes,No,None
224,Was child able to fling the ball upwards by punching the bag?,Radio Button,Yes,No,Most of the times,Sometimes
206,Was child able to apply fevicol?,Radio Button,Yes,No,None
243,"Was child able to trace most, if not all patterns?",Radio Button,Yes,No,None
35,Did child enjoy collecting leaves for this activity?,Radio Button,Yes,No,None
213,Was child able to colour most shapes correctly?,Radio Button,Yes,No,None
312,Which part of this activity did child enjoy the most?,Radio Button,Rolling paper cup in the green gram,Removing the green gram from the paper cups,None
238,Was child able to put the cotton buds in?,Radio Button,Yes,No,None
79,Did child like to make a variety of shapes for shadow play?,Radio Button,Yes,No,None
63,Did child help you to make this big bubble wand?,Radio Button,Yes,No,None
368,Was child able to maintain patience throughout the activity?,Radio Button,Yes,No,Most of the times,Sometimes
211,Was child able to categorize most food items as per taste?,Radio Button,Yes,No,None
104,"Did child touch and feel most, if not all objects?",Radio Button,Yes,No,None
265,Was child open to mixing paints with their fingers?,Radio Button,Yes,No,None
230,Was child able to make shapes using the molds?,Radio Button,Yes,No,None
264,Was child observing carefully and patiently?,Radio Button,Yes,No,Most of the times,Sometimes
268,Was child patient throughout the activity?,Radio Button,Yes,No,Most of the times,Sometimes
54,Did child feel proud of themselves after finishing the tree?,Radio Button,Yes,No,None
271,Was your child able to come up with different shapes objects?,Radio Button,Yes,No,None
129,Did the child experiment with different colors and techniques on their own?.,Radio Button,Yes,No,None
91,Did child perform the activity with ease?,Radio Button,Yes,No,Most of the times,Sometimes
14,Could child do this activity with both hands simultaneously?,Radio Button,Yes,No,Most of the times,Sometimes
229,Was child able to make impressions using crayons?,Radio Button,Yes,No,None
42,Did child enjoy making this colourful prints frame?,Radio Button,Yes,No,None
250,Was child comfortable touching the ice cold balloon?,Radio Button,Yes,No,None
218,Was child able to do the colouring and spraying water independently?,Radio Button,Yes,No,None
121,Did child use these googly eyes for any art and craft projects?,Radio Button,Yes,No,None
217,"Was child able to do most, if not all exercises?",Radio Button,Yes,No,None
207,Was child able to arrange the matchsticks properly?,Radio Button,Yes,No,None
43,Did child enjoy playing with cardboard shoes?,Radio Button,Yes,No,None
34,Did child enjoy chiseling the ice away to find the dinosaur?,Radio Button,Yes,No,None
68,Did child like colouring the eyes and mouth?,Radio Button,Yes,No,None
311,Which part of the activity did child like the most?,Radio Button,Drawing the sheep,Putting the tape,Sticking cotton
67,Did child like collecting different types of leaves?,Radio Button,Yes,No,None
179,Does child use this board to practice writing?,Radio Button,Yes,No,None
36,did child enjoy collecting the flowers?,Radio Button,Yes,No,Can't Say
69,Did child like crumpling and tearing of paper?,Radio Button,Yes,No,None
73,Did child like the idea of sensory play to learn letters and numbers?,Radio Button,Yes,No,Can't Say
20,Did child add any fun elements to the spider like a bow or a hat?,Radio Button,Yes,No,None
251,Was child consistent and patient with their efforts?,Radio Button,Yes,No,Most of the times,Sometimes
219,Was child able to do the sieving action?,Radio Button,Yes,No,None
128,Did the child enjoyed doing longer phrases?,Radio Button,Yes,No,None
200,How many shapes were built by the child?,Radio Button,1 to 2,3 to 5,more than 5
273,Were they able to make patterns as requested?,Radio Button,Yes,No,None
72,Did child like the idea of making newspaper bags at home?,Radio Button,Yes,No,Can't Say
55,Did child find moving the hands around interesting? ,Radio Button,Yes,No,Can't Say
50,Did child expect a rainbow to be formed before you started with the activity? ,Radio Button,Yes,No,Can't Say
231,Was child able to make the butterfly flap its wings?,Radio Button,Yes,No,None
80,Did child make a creative bracelet or ring?,Radio Button,Yes,No,None
237,Was child able to pick up small objects using a stick?,Radio Button,Yes,No,None
22,Did child additionally decorate the fruit basket?,Radio Button,Yes,No,None
226,was child able to focus throughout the game?,Radio Button,Yes,No,None
210,Was child able to catch most of the balls?,Radio Button,Yes,No,None
17,Could child replicate your drawing?,Radio Button,Yes,No,Most of the times,Sometimes
38,Did child enjoy doing the setup for this experiment? ,Radio Button,Yes,No,None
222,Was child able to draw vehicles using the template?,Radio Button,Yes,No,None
44,Did child enjoy setting up this activity?,Radio Button,Yes,No,None
252,was child curious to see the outcome of this activity?,Radio Button,Yes,No,None
216,Was child able to cut the leaves well?,Radio Button,Yes,No,Most of the times,Sometimes
233,"Was child able to match the code most, if not all times?",Radio Button,Yes,No,None
41,Did child enjoy making the shoe template?,Radio Button,Yes,No,Can't Say
300,What part of this activity did child enjoy the most?,Radio Button,making the name post,Painting,Writing names,Displaying the art
75,Did child like this different method of blowing bubbles?,Radio Button,Yes,No,None
71,Did child like making the flowers?,Radio Button,Yes,No,Can't Say
215,Was child able to create designs using a cotton bud?,Radio Button,Yes,No,None
48,Did child enjoy this technique of painting?,Radio Button,Yes,No,None
197,How many cars did child make?,Radio Button,just 1,2 to 3,more than 5
244,Was child able to twist the paper strips?,Radio Button,Yes,No,Sometimes
134,Did they express any sensory difficulties while writing in foam?,Radio Button,Yes,No,None
46,Did child enjoy this jewelry making process?,Radio Button,Yes,No,Can't Say
126,Did child weigh various objects in the house to see which was heavier and lighter?,Radio Button,Yes,No,None
65,Did child keep trying till they could do the exercise well?,Radio Button,Yes,No,None
30,Did child come up with new and unique animals to make hand shadows?,Radio Button,Yes,No,None
235,Was child able to participate for most tasks in this activity?,Radio Button,Yes,No,None
369,Did child use creativity in colouring the paper strip?,Radio Button,Yes,No,None
87,Did child observe the experiment carefully?,Radio Button,Yes,No,Most of the times,Sometimes
99,Did child stick the sticks on their own or did they require help?,Radio Button,On their own,Required help,Mix of both
4,Can child think of any other design for mobile stand using same materials?,Radio Button,Yes,No,None
88,Did child participate in making the weighing scale?,Radio Button,Yes,No,None
236,Was child able to perform this activity? ,Radio Button,Yes,No,None
16,Could child manage to move all balls in one toss?,Radio Button,Yes,No,Sometimes
